aX,aY,aZ,gX,gY,gZ
-0.186,-0.032,1.047,-19.531,22.705,-5.798
-0.210,-0.060,1.014,-15.076,22.644,-5.371
-0.191,-0.064,1.009,-12.573,21.790,-3.906
-0.159,-0.043,1.020,-12.390,20.325,-0.793
-0.137,-0.040,1.009,-12.878,17.578,3.174
-0.121,-0.029,0.994,-12.268,14.404,5.676
-0.128,-0.016,0.997,-9.216,12.451,5.432
-0.096,0.011,1.019,-4.700,10.437,2.075
-0.095,0.042,1.034,-0.488,8.179,-2.747
-0.114,0.046,1.017,1.526,6.531,-6.409
-0.122,0.023,1.005,0.916,6.531,-9.827
-0.137,0.010,0.991,-1.038,8.850,-13.000
-0.129,-0.015,0.968,-1.953,12.573,-14.282
-0.106,-0.050,0.966,-2.563,16.296,-14.587
-0.099,-0.053,0.965,-1.953,19.043,-13.794
-0.079,-0.041,0.979,-3.662,19.653,-10.376
-0.070,-0.036,0.974,-8.240,17.456,-5.005
-0.071,-0.044,0.978,-11.414,14.465,0.061
-0.050,-0.043,0.990,-10.803,11.597,3.235
-0.037,-0.031,1.002,-8.850,8.545,3.540
-0.041,-0.014,1.001,-5.554,5.432,1.892
-0.042,-0.006,0.991,-2.014,2.869,-0.305
-0.032,-0.000,0.979,0.732,1.831,-2.625
-0.016,0.000,0.972,1.160,2.075,-4.089
-0.010,0.004,0.963,0.671,3.052,-4.639
-0.000,0.003,0.955,-0.671,3.967,-4.883
0.013,-0.020,0.956,-2.747,4.639,-4.700
0.026,-0.053,0.962,-3.235,5.005,-4.883
0.037,-0.061,0.968,-1.465,4.578,-5.493
0.034,-0.057,0.986,0.549,3.540,-4.883
0.029,-0.042,1.003,1.831,2.136,-2.808
0.031,-0.030,1.014,3.113,0.122,-0.610
0.022,-0.028,0.994,4.700,-1.526,0.427
-0.004,-0.034,0.962,5.310,-1.465,0.977
-0.013,-0.010,0.953,2.747,0.732,1.587
0.004,-0.005,0.953,-0.854,3.479,3.357
0.018,-0.003,0.949,-3.906,5.615,5.676
0.033,0.007,0.959,-5.371,5.920,6.653
0.046,0.022,0.970,-4.822,4.395,6.104
0.048,0.033,0.973,-2.991,1.343,4.150
0.028,0.032,0.978,-1.160,-2.258,1.404
0.023,0.029,0.988,0.732,-5.005,-1.648
0.013,0.031,0.988,1.831,-6.592,-4.272
0.001,0.015,0.975,0.793,-7.202,-5.188
-0.003,0.004,0.985,-2.747,-6.470,-4.761
0.009,-0.011,0.990,-5.615,-5.127,-3.357
0.023,-0.035,1.002,-6.348,-3.784,-1.709
0.025,-0.059,0.998,-5.310,-2.502,-0.061
0.027,-0.031,0.998,-2.869,-0.610,1.404
0.011,0.016,0.978,-0.061,1.770,2.991
-0.001,0.035,0.978,1.404,3.601,5.859
-0.004,0.073,0.989,-0.061,4.517,7.507
0.003,0.072,0.998,-2.380,4.272,8.362
-0.003,0.077,0.986,-3.662,3.418,7.568
-0.007,0.076,0.982,-3.784,2.380,5.127
0.004,0.078,0.993,-2.625,1.892,2.136
0.008,0.091,0.994,-1.282,1.160,-0.488
0.007,0.097,0.991,-0.488,0.854,-1.953
0.000,0.087,0.980,-0.549,0.977,-2.441
0.004,0.077,0.978,0.061,1.770,-3.357
0.009,0.055,0.979,1.587,2.625,-4.639
0.006,0.036,0.985,3.723,3.113,-6.165
0.013,0.036,0.992,3.967,3.235,-6.775
0.013,0.041,0.993,2.197,2.563,-5.676
0.009,0.026,0.981,0.610,1.526,-3.235
0.009,0.023,0.973,0.671,0.671,-1.221
0.003,0.032,0.971,0.916,-0.305,-1.099
0.001,0.051,0.971,0.610,-1.709,-1.587
0.000,0.067,0.978,-1.038,-3.601,-1.953
0.010,0.077,0.992,-3.296,-5.432,-1.587
0.006,0.071,1.003,-5.981,-7.324,-1.282
0.003,0.059,1.001,-6.348,-9.033,-1.770
0.000,0.055,0.998,-4.944,-9.583,-2.869
-0.007,0.054,1.000,-3.357,-9.460,-3.723
-0.003,0.045,1.010,-1.953,-9.033,-3.784
0.022,0.039,1.025,0.427,-8.850,-4.395
0.011,0.039,1.005,3.540,-9.338,-7.019
0.001,0.042,0.998,3.784,-8.789,-7.690
-0.000,0.027,0.994,0.427,-7.874,-6.165
0.009,0.014,0.987,-3.784,-6.409,-3.662
-0.001,0.010,0.970,-7.202,-5.188,-1.404
0.004,0.010,0.964,-8.118,-4.333,0.000
0.019,0.001,0.978,-7.202,-4.700,-0.305
0.024,-0.004,0.992,-5.188,-6.775,-1.648
0.021,0.014,0.997,-3.723,-10.254,-2.686
0.023,0.021,1.001,-2.563,-13.000,-2.319
0.027,-0.003,1.002,-0.793,-15.076,-1.709
0.038,-0.010,1.019,0.671,-15.869,-1.953
0.036,-0.009,1.021,2.686,-16.113,-3.235
0.034,-0.009,1.011,4.089,-15.991,-4.333
0.036,0.029,1.032,4.089,-14.954,-4.333
0.078,0.025,1.221,7.080,-14.709,-3.479
0.035,0.028,0.965,16.113,-21.667,-3.723

1.624,0.237,1.001,1.404,0.732,20.447
1.773,0.146,1.006,1.770,0.488,25.146
1.745,0.024,1.031,1.526,0.732,23.560
