aX,aY,aZ,gX,gY,gZ
-0.023,-0.017,1.002,0.916,0.732,-0.244
-0.023,-0.019,1.001,0.977,0.671,-0.244
-0.022,-0.019,1.001,0.977,0.671,-0.061
-0.024,-0.019,1.003,0.916,0.610,-0.061
-0.023,-0.018,1.001,0.916,0.671,-0.061
-0.023,-0.018,1.001,1.038,0.854,-0.061
-0.025,-0.025,1.001,1.404,0.793,-0.061
-0.025,-0.018,1.001,1.526,0.793,-0.122
-0.025,-0.017,1.002,1.038,0.610,-0.061
-0.026,-0.016,1.002,1.099,0.793,-0.122
-0.026,-0.015,1.001,1.282,0.732,-0.122
-0.026,-0.018,1.001,1.038,0.793,-0.183
-0.026,-0.018,1.002,0.854,0.671,-0.244
-0.025,-0.018,1.000,0.793,0.732,-0.122
-0.025,-0.020,1.001,1.038,0.671,-0.183
-0.024,-0.020,1.001,0.916,0.671,-0.183
-0.024,-0.021,1.001,1.099,0.854,-0.183
-0.023,-0.020,1.001,0.977,0.793,-0.183
-0.022,-0.020,1.001,0.854,0.549,-0.122
-0.022,-0.019,1.001,0.977,0.793,-0.183
-0.023,-0.018,1.001,0.977,0.732,-0.122
-0.023,-0.018,1.001,0.977,0.671,-0.122
-0.024,-0.017,1.001,1.160,0.854,-0.183
-0.025,-0.016,1.001,1.160,0.854,-0.305
-0.025,-0.016,1.001,1.038,0.793,-0.183
-0.027,-0.017,1.001,1.160,0.671,-0.244
-0.027,-0.016,1.001,0.977,0.793,-0.183
-0.027,-0.018,1.001,0.977,0.732,-0.122

-0.290,1.715,1.000,0.427,-0.427,80.322
-0.233,1.603,1.010,-1.038,-0.732,109.375
-0.327,1.611,1.003,-5.066,-0.793,122.986
-0.265,1.494,1.007,-10.925,-0.366,124.573
-0.139,1.327,0.974,-14.648,0.000,116.760
0.001,1.040,0.939,-10.254,0.183,86.243
0.098,0.765,0.959,3.967,0.610,36.743
-0.003,0.484,1.003,15.320,0.671,-16.724
0.013,0.229,1.049,20.752,0.366,-70.862
0.015,0.286,1.004,15.137,1.587,-117.798
-0.079,0.213,0.999,3.601,3.174,-141.052
-0.094,-0.244,1.000,3.357,2.197,-138.916
0.074,-0.732,1.002,1.892,1.831,-125.916
0.103,-0.765,1.002,0.977,1.953,-111.023
0.201,-0.850,0.999,3.296,2.380,-91.248
0.244,-0.936,0.995,4.883,2.686,-67.505
0.237,-0.984,1.007,2.319,2.441,-47.485
0.149,-1.134,1.014,0.427,1.892,-32.593
0.119,-1.185,1.022,-2.014,0.977,-19.714
0.078,-1.096,1.003,-2.380,0.793,-5.554
0.045,-0.962,1.011,-0.732,0.549,8.728
0.035,-0.784,1.004,0.061,0.122,18.677
-0.012,-0.785,1.004,-0.610,0.183,24.109
-0.020,-0.825,1.008,0.305,0.183,20.447
-0.044,-0.717,1.001,1.709,0.122,4.211
-0.112,-0.476,1.000,1.953,0.366,-12.634
-0.160,-0.333,1.000,1.831,0.549,-19.409
-0.175,-0.280,1.002,1.221,0.671,-15.808
-0.158,-0.269,1.000,0.977,0.549,-6.592
-0.131,-0.249,1.004,0.916,0.732,0.916
-0.106,-0.207,1.004,1.160,0.793,2.808
-0.080,-0.155,1.000,1.099,0.854,-1.709
-0.077,-0.127,1.000,0.977,1.099,-8.240
-0.073,-0.092,1.001,0.854,1.343,-13.733
-0.068,-0.133,1.002,0.488,1.343,-18.066
-0.079,-0.108,1.002,0.488,1.404,-22.705
-0.085,-0.066,1.002,0.366,1.587,-25.818
-0.086,-0.035,1.002,0.427,1.587,-25.269
-0.072,-0.002,1.000,0.488,1.404,-23.132
-0.061,-0.024,1.000,0.854,1.465,-20.935
-0.042,-0.047,1.001,0.916,1.526,-20.020
-0.035,-0.059,1.002,1.343,1.404,-19.775
-0.029,-0.041,1.001,1.587,1.221,-17.822
-0.000,-0.089,1.002,1.587,1.282,-13.672
0.015,-0.125,1.001,1.343,1.221,-10.864
0.024,-0.143,1.001,1.953,1.221,-10.254
0.028,-0.168,1.001,1.526,0.916,-10.254
0.029,-0.198,1.001,1.343,1.038,-10.315
0.027,-0.209,1.000,1.160,0.916,-9.644
-0.004,-0.240,1.001,0.732,1.099,-7.935
-0.025,-0.199,1.001,0.427,1.099,-6.104
-0.021,-0.029,1.000,0.854,0.916,-2.380
-0.020,-0.018,1.001,0.977,0.793,-0.244
-0.021,-0.019,1.001,0.610,0.854,-0.122
-0.024,-0.021,1.001,0.488,1.099,-0.305
-0.025,-0.023,1.002,0.610,0.916,-0.244
-0.027,-0.024,1.002,0.610,0.854,-0.244
-0.029,-0.023,1.001,0.854,0.977,-0.061
-0.029,-0.022,1.001,0.793,0.977,-0.122
-0.029,-0.021,1.001,0.916,0.977,-0.244
-0.028,-0.018,1.001,0.977,0.854,-0.183
-0.026,-0.016,1.002,1.038,0.977,-0.122
-0.025,-0.016,1.001,1.038,0.916,-0.183
-0.023,-0.013,1.001,1.038,1.038,0.000
-0.022,-0.013,1.001,1.160,0.977,-0.061
-0.021,-0.015,1.001,1.038,0.977,-0.061
-0.020,-0.017,1.001,0.977,1.160,-0.244
-0.019,-0.019,1.001,0.793,1.038,-0.244
-0.020,-0.023,1.003,0.793,0.916,-0.122
-0.022,-0.023,1.002,1.160,1.038,-0.183
-0.023,-0.023,1.002,0.977,0.854,-0.183
-0.026,-0.023,1.001,1.038,0.793,-0.122
-0.026,-0.022,1.001,1.038,0.793,-0.244
-0.028,-0.020,1.001,1.099,0.610,-0.427
-0.028,-0.017,1.003,1.099,0.549,-0.427
-0.028,-0.015,1.001,1.160,0.610,-0.366
-0.027,-0.015,1.001,1.099,0.732,-0.244
-0.026,-0.014,1.001,0.854,0.793,-0.366
-0.024,-0.016,1.001,0.854,0.916,-0.122
-0.024,-0.017,1.001,0.854,0.854,-0.061
-0.023,-0.019,1.003,0.916,0.793,-0.061
-0.023,-0.020,1.001,0.977,0.916,-0.122
-0.023,-0.022,1.001,1.038,0.854,-0.244
-0.023,-0.022,1.001,1.038,0.732,-0.305
-0.023,-0.022,1.001,1.038,0.793,-0.305
-0.024,-0.021,1.002,0.854,0.610,-0.183
-0.024,-0.020,1.001,0.854,0.793,-0.122
-0.024,-0.018,1.001,1.099,0.793,-0.122
-0.024,-0.017,1.001,1.160,0.671,-0.183
-0.025,-0.015,1.001,1.099,0.732,-0.305
-0.024,-0.016,1.001,0.977,0.610,-0.366
-0.024,-0.016,1.001,0.977,0.732,-0.366
-0.025,-0.016,1.001,0.916,0.732,-0.244
-0.024,-0.018,1.001,1.099,0.732,-0.183
-0.024,-0.018,1.001,1.099,0.732,-0.122
-0.026,-0.020,1.002,0.977,0.671,-0.244
-0.024,-0.021,1.001,1.038,0.732,-0.183
-0.025,-0.021,1.001,0.916,0.793,-0.122
-0.025,-0.021,1.001,0.854,0.671,-0.122
-0.025,-0.020,1.001,0.854,0.732,-0.122
-0.025,-0.018,1.001,0.916,0.793,-0.122
-0.024,-0.017,1.001,0.854,0.671,-0.183
-0.025,-0.016,1.001,0.977,0.732,-0.183
-0.025,-0.016,1.001,0.916,0.671,-0.244
-0.022,-0.017,1.001,1.038,0.671,-0.122
-0.023,-0.018,1.001,1.160,0.793,-0.183
-0.023,-0.018,1.001,1.160,0.793,-0.183
-0.023,-0.020,1.001,0.977,0.488,-0.305
-0.025,-0.021,1.002,0.916,0.549,-0.183
-0.024,-0.020,1.001,0.977,0.732,-0.244
-0.025,-0.020,1.001,0.977,0.793,-0.183
-0.024,-0.021,1.001,1.099,0.793,-0.183
-0.025,-0.019,1.001,0.977,0.854,-0.183
-0.025,-0.018,1.001,0.916,0.793,-0.122
-0.025,-0.017,1.001,1.038,0.610,-0.244
-0.025,-0.017,1.001,0.916,0.610,-0.305
-0.026,-0.016,1.001,1.099,0.793,-0.305
-0.026,-0.018,1.001,1.099,0.732,-0.244
-0.024,-0.017,1.001,1.099,0.671,0.061

0.080,1.591,0.995,1.404,-0.244,70.129
0.117,1.553,0.995,1.282,0.000,61.218
0.077,1.556,1.000,0.183,0.366,36.987
0.047,1.405,0.995,0.610,0.549,15.869
