aX,aY,aZ,gX,gY,gZ
-0.022,-0.020,1.001,1.221,0.854,-0.061
-0.025,-0.018,1.001,1.160,0.793,-0.183
-0.026,-0.018,1.001,0.977,0.793,-0.244
-0.026,-0.016,1.001,0.977,0.854,-0.122
-0.028,-0.016,1.001,1.099,0.977,-0.244
-0.027,-0.017,1.001,1.160,1.038,-0.183
-0.027,-0.016,1.001,1.160,0.977,-0.122

-0.037,-1.740,1.014,5.127,6.042,-28.809
-0.005,-2.073,1.010,5.432,5.981,0.916
-0.048,-1.860,1.012,5.981,3.967,29.541
-0.066,-1.754,0.990,4.944,0.854,66.650
-0.052,-1.699,0.994,2.502,-2.258,102.478
-0.106,-1.419,0.992,-1.465,-5.981,119.141
-0.101,-0.886,1.004,-2.869,-7.080,131.226
-0.091,-0.554,0.976,2.319,-5.920,145.996
-0.076,-0.301,1.049,2.380,-2.869,148.132
-0.130,0.557,1.008,6.287,-2.686,137.268
-0.033,0.949,1.037,5.554,-2.075,135.559
0.024,0.675,0.977,2.991,-0.732,113.220
-0.198,1.048,0.990,-4.761,0.549,62.622
-0.301,1.587,1.000,-2.136,1.343,32.593
-0.185,1.208,1.006,-0.549,1.221,55.664
-0.150,1.545,0.992,-0.122,0.610,62.988
-0.118,1.715,0.987,-1.770,1.343,40.649
-0.211,1.587,0.992,-5.554,2.930,19.958
-0.158,1.414,1.002,-6.348,4.700,4.944
-0.173,1.158,0.999,-1.587,3.174,-6.592
-0.086,0.824,0.999,1.282,2.075,-19.287
-0.085,0.674,0.997,1.953,2.136,-38.330
-0.100,0.424,0.999,2.808,1.465,-46.875
-0.108,0.245,0.999,2.991,1.587,-43.701
-0.136,0.218,0.999,2.686,0.610,-34.607
-0.140,0.175,1.002,2.441,-0.061,-22.278
-0.128,0.105,1.002,2.563,0.061,-9.338
-0.121,0.132,1.001,2.075,0.732,-0.671
-0.138,0.218,1.001,2.014,0.732,3.723
-0.136,0.230,1.001,2.014,0.732,5.554
-0.145,0.291,1.000,1.587,0.671,4.517
-0.220,0.390,0.998,1.953,0.610,3.784
-0.044,0.017,1.003,1.953,0.610,2.502
-0.026,-0.016,1.004,1.160,0.854,-0.122
-0.025,-0.015,1.001,1.221,1.099,0.122
-0.024,-0.014,1.001,1.404,1.160,0.000
-0.024,-0.014,1.001,1.465,1.099,0.122
-0.020,-0.017,1.002,1.343,1.038,0.061
-0.021,-0.018,1.002,1.282,0.977,0.061
-0.019,-0.020,1.002,0.977,0.793,0.061
-0.019,-0.022,1.000,0.977,0.793,0.000
-0.020,-0.023,1.001,1.160,0.793,-0.061
-0.021,-0.022,1.001,1.160,0.977,0.061
-0.020,-0.022,1.001,1.160,0.854,-0.122
-0.020,-0.022,1.001,1.404,0.916,-0.122
-0.020,-0.021,1.002,1.221,1.038,-0.183
-0.019,-0.019,1.001,1.038,0.916,-0.244
-0.019,-0.019,1.001,0.977,0.732,-0.122
-0.021,-0.016,1.001,1.038,0.793,-0.122
-0.023,-0.015,1.000,1.160,0.732,-0.305
-0.025,-0.013,1.000,1.160,0.793,-0.183
-0.026,-0.014,1.002,1.038,0.793,-0.122
-0.027,-0.016,1.001,1.099,0.671,-0.061
-0.026,-0.019,1.001,1.038,0.854,-0.183
-0.026,-0.022,1.001,1.160,1.038,-0.183
-0.026,-0.023,1.001,1.038,1.038,-0.122
-0.026,-0.024,1.001,1.160,1.038,-0.061
-0.026,-0.022,1.001,1.282,0.916,-0.061
-0.024,-0.020,1.001,1.038,0.793,-0.061
-0.024,-0.017,1.000,1.160,0.793,-0.183
-0.023,-0.016,1.001,1.099,0.916,-0.122
-0.021,-0.015,1.001,0.854,0.793,-0.122
-0.020,-0.015,1.001,1.099,0.732,0.000
-0.019,-0.016,1.001,1.282,0.854,-0.122
-0.019,-0.018,1.001,1.038,0.732,-0.366
-0.020,-0.019,1.001,0.916,0.977,-0.244
-0.020,-0.020,1.001,1.038,0.916,-0.122
-0.022,-0.021,1.001,1.038,0.732,-0.183
-0.022,-0.021,1.000,1.099,0.793,-0.244
-0.023,-0.021,1.001,1.160,0.854,-0.183
-0.022,-0.021,1.001,1.160,0.916,-0.244
-0.024,-0.021,1.001,1.282,0.854,-0.366
-0.025,-0.019,1.001,1.404,0.854,-0.183
-0.025,-0.018,1.001,1.221,0.916,-0.122
-0.025,-0.016,1.001,1.099,0.916,-0.122
-0.026,-0.015,1.001,1.221,0.977,-0.183
-0.026,-0.013,1.001,1.038,0.854,-0.183
-0.026,-0.015,1.001,1.038,0.854,-0.122
-0.024,-0.016,1.001,1.099,0.977,-0.244
-0.024,-0.020,1.001,1.099,0.793,-0.183
-0.021,-0.022,1.001,1.221,0.793,0.000
-0.021,-0.023,1.001,1.282,0.977,-0.061
-0.021,-0.023,1.001,1.099,0.732,-0.244
-0.020,-0.022,1.001,1.099,0.854,-0.366
-0.020,-0.019,1.001,1.160,0.854,-0.183
-0.020,-0.018,1.001,1.160,0.916,-0.244
-0.021,-0.018,1.001,1.099,0.854,-0.244
-0.022,-0.016,1.001,1.099,0.916,-0.244
-0.023,-0.015,1.001,1.038,0.854,-0.183
-0.024,-0.016,1.001,0.977,0.732,-0.183
-0.026,-0.017,1.001,1.099,0.732,-0.244
-0.026,-0.017,1.001,1.099,0.916,-0.305
-0.026,-0.018,1.001,1.099,0.854,-0.183
-0.027,-0.019,1.001,1.282,0.854,-0.122
-0.026,-0.021,1.001,1.221,0.916,-0.061
-0.026,-0.021,1.001,1.282,0.916,-0.183
-0.024,-0.022,1.001,1.099,0.732,-0.183
-0.022,-0.021,1.001,1.221,0.916,-0.183
-0.021,-0.019,1.001,1.221,0.977,-0.183
-0.020,-0.016,1.001,1.404,1.099,-0.061
-0.020,-0.016,1.001,1.221,0.977,-0.122
-0.021,-0.016,1.001,1.160,0.854,-0.183
-0.021,-0.015,1.001,1.099,0.916,-0.244
-0.021,-0.016,1.001,1.160,0.916,-0.183
-0.022,-0.017,1.001,1.282,0.854,-0.183
-0.023,-0.017,1.001,1.404,0.854,-0.122
-0.024,-0.019,1.001,1.404,0.977,-0.244
-0.025,-0.020,1.001,1.221,1.099,-0.122
-0.025,-0.022,1.001,1.221,0.916,-0.122
-0.025,-0.022,1.001,1.099,0.916,-0.183
-0.026,-0.021,1.001,1.160,0.854,-0.244
-0.025,-0.020,1.001,1.343,0.916,-0.061
-0.024,-0.019,1.001,1.099,0.793,-0.061
-0.023,-0.017,1.001,1.221,0.854,-0.122
-0.023,-0.016,1.001,1.221,0.977,-0.183
-0.021,-0.016,1.001,1.099,0.916,-0.061
-0.021,-0.017,1.002,1.038,0.916,-0.244
-0.022,-0.017,1.001,1.526,1.038,-0.183
-0.022,-0.018,1.001,1.343,0.916,-0.244

-0.101,-1.801,1.003,6.226,9.399,-69.397
-0.085,-2.053,0.998,5.493,6.348,-33.691
-0.093,-2.158,1.008,4.089,1.648,7.874
-0.087,-2.108,1.001,3.357,1.282,51.086
-0.091,-1.851,0.993,2.625,2.319,96.008
-0.128,-1.582,0.993,-0.977,-0.366,134.216
-0.131,-1.079,0.991,-1.892,-3.967,159.607
-0.093,-0.764,0.991,0.366,-7.385,173.950
-0.087,-0.256,1.040,1.160,-12.085,168.701
-0.053,0.211,1.038,6.165,-11.658,153.992
-0.062,0.482,0.976,4.211,-2.380,128.113
-0.114,0.710,0.994,2.808,-1.099,101.624
-0.272,1.190,1.000,0.549,0.244,74.463
-0.300,1.051,1.017,-0.488,1.343,67.871
-0.462,1.346,0.987,-2.686,2.075,68.176
-0.215,1.899,0.967,-3.235,1.099,71.594
-0.198,1.756,0.989,-6.226,0.610,66.589
-0.120,1.967,1.009,-6.226,3.174,42.969
-0.093,1.653,0.998,0.610,2.686,14.587
-0.061,1.254,1.000,3.174,1.648,-8.423
-0.109,1.043,0.996,2.625,2.075,-36.438
-0.125,0.908,1.000,2.136,2.502,-49.744
-0.153,0.640,0.998,2.380,2.258,-48.340
-0.122,0.355,1.000,1.587,1.282,-37.415
-0.123,0.304,1.001,1.587,0.854,-29.541
-0.108,0.253,1.001,1.892,0.244,-19.775
-0.057,0.182,1.001,1.892,0.366,-8.789
-0.026,0.258,1.002,1.709,1.038,-4.822
0.026,0.535,0.996,2.014,1.099,-1.831
-0.020,0.048,1.001,2.380,0.671,3.052
-0.025,-0.016,1.002,1.038,0.854,0.000
-0.023,-0.021,1.003,1.404,0.793,0.244
-0.020,-0.023,1.001,1.465,1.221,0.549
-0.016,-0.022,1.001,1.526,1.282,0.732
-0.014,-0.022,1.001,1.343,1.282,0.916
-0.013,-0.021,1.001,1.038,0.854,0.793
-0.015,-0.020,1.001,0.916,0.793,0.488
-0.019,-0.018,1.001,0.977,0.732,0.061
-0.020,-0.019,1.001,0.916,0.854,-0.183
-0.025,-0.020,1.002,0.854,0.854,-0.244
-0.026,-0.021,1.001,1.160,0.854,-0.061
-0.027,-0.021,1.001,1.160,0.854,-0.122
-0.027,-0.022,1.001,1.160,0.854,-0.122
-0.028,-0.021,1.001,1.038,0.793,-0.244
-0.027,-0.021,1.001,1.038,0.854,-0.305
-0.026,-0.019,1.002,0.977,0.671,-0.183
-0.025,-0.018,1.001,1.038,0.854,-0.122
-0.022,-0.017,1.001,1.099,0.610,-0.183
-0.021,-0.017,1.001,1.038,0.916,-0.061
-0.018,-0.017,1.001,0.916,0.977,-0.061
-0.016,-0.019,1.001,0.854,0.732,-0.061
-0.016,-0.020,1.002,0.916,0.732,-0.183
-0.015,-0.020,1.001,1.038,0.671,-0.183
-0.016,-0.022,1.001,0.732,0.732,-0.122
-0.019,-0.021,1.000,0.916,0.854,-0.183
-0.021,-0.021,1.001,0.977,0.793,-0.305
-0.024,-0.020,1.002,0.916,0.671,-0.244
-0.026,-0.019,1.001,0.977,0.854,-0.061
-0.028,-0.019,1.001,1.038,0.793,-0.122
-0.028,-0.019,1.001,1.099,0.916,-0.122
-0.028,-0.018,1.001,0.854,0.793,0.000
-0.036,-0.005,1.012,0.305,1.038,-0.183
-0.025,-0.013,1.003,-1.587,1.892,-0.549
-0.022,-0.015,1.001,0.671,0.916,-0.244
-0.024,-0.018,1.001,1.404,0.793,-0.183
-0.021,-0.017,1.001,1.099,0.854,-0.305
-0.021,-0.016,1.001,0.977,1.038,-0.244
-0.019,-0.018,1.001,1.038,1.038,-0.122
-0.020,-0.019,1.001,1.038,0.916,-0.061
-0.018,-0.019,1.001,1.160,0.854,-0.183
-0.018,-0.021,1.001,1.160,0.977,-0.183
-0.019,-0.021,1.001,1.160,1.038,-0.061
-0.018,-0.020,1.001,1.038,0.854,-0.305
-0.021,-0.017,1.000,1.099,0.793,-0.244
-0.021,-0.018,1.001,1.099,0.793,-0.244
-0.022,-0.017,1.001,1.099,0.671,-0.122
-0.023,-0.016,1.000,0.916,0.793,-0.183
-0.024,-0.017,1.001,1.099,0.793,-0.183
-0.024,-0.018,1.001,0.977,0.610,-0.183
-0.024,-0.019,1.001,1.038,0.610,-0.122
-0.024,-0.019,1.000,1.038,0.671,-0.244
-0.026,-0.018,1.001,1.038,0.854,-0.244
-0.026,-0.018,1.001,1.038,0.977,-0.183
-0.027,-0.019,1.001,1.099,0.916,-0.122
-0.024,-0.018,1.001,0.793,0.732,-0.305
-0.023,-0.018,1.001,0.977,0.549,-0.183
-0.023,-0.019,1.000,0.854,0.793,-0.244
