aX,aY,aZ,gX,gY,gZ
0.755,-0.207,1.047,0.122,-0.916,4.883
0.762,-0.162,1.003,-0.793,-1.099,-8.606
0.870,-0.086,0.994,1.343,-1.160,-14.771
0.823,-0.112,0.993,0.122,-1.404,-13.367
0.894,-0.124,0.992,0.549,-1.160,-8.545
0.866,-0.120,0.995,0.610,-0.549,-3.174
0.881,-0.127,1.005,0.488,-0.366,4.578
0.911,-0.133,0.997,1.709,-0.977,11.841
0.855,-0.082,1.002,1.343,0.793,16.052
0.804,-0.068,1.016,0.427,1.709,18.433
0.859,0.001,1.009,-0.122,0.916,19.043
0.720,0.049,0.999,0.244,0.183,18.372
0.586,0.051,1.000,0.854,0.061,17.212
0.523,0.057,1.005,0.732,-0.427,15.015
0.536,0.101,1.002,1.831,-0.671,11.230
0.481,0.140,0.999,1.770,-0.732,6.165
0.470,0.145,0.999,0.305,-0.549,0.732
0.445,0.117,1.003,-0.061,0.183,-3.418
0.418,0.078,1.001,0.549,0.366,-6.653
0.393,0.049,1.004,1.160,0.610,-8.850
0.386,0.037,1.001,1.648,0.854,-8.118
0.341,0.023,1.000,1.404,0.732,-4.639
0.304,0.007,1.001,1.038,0.793,-0.183
0.264,-0.005,1.002,0.977,0.793,3.784
0.251,-0.021,1.004,0.610,0.732,5.798
0.065,-0.032,1.005,0.488,0.793,4.822
-0.025,-0.020,1.003,1.221,0.916,0.732
-0.029,-0.022,1.003,1.404,0.854,-0.061
-0.030,-0.025,1.000,1.648,0.488,-0.122
-0.030,-0.024,1.001,1.343,0.488,-0.061
-0.027,-0.020,1.000,0.977,0.488,0.000
